Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  7.45     52.29    52.29                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4235 @ 8056cf5)
  6.19     95.76    43.46                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4244 @ 8056d99)
  5.61    135.15    39.39                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4227 @ 8056c36)
  4.75    168.52    33.37                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4245 @ 8056dea)
  4.28    198.60    30.08                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4238 @ 8056d2b)
  3.91    226.08    27.48                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1624 @ 804e1bc)
  3.69    252.00    25.92                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4243 @ 8056d7c)
  2.69    270.90    18.89                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4246 @ 8056e06)
  2.56    288.85    17.95                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1621 @ 804e17d)
  1.78    301.32    12.47                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4233 @ 8056ca2)
  1.66    312.99    11.67                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1627 @ 804e1f7)
  1.49    323.47    10.49                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1629 @ 804e235)
  1.41    333.35     9.88                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1590 @ 804df4c)
  1.39    343.11     9.76                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4231 @ 8056e13)
  1.35    352.58     9.47                             SpaceClass::init() (subroutines.cc:2759 @ 805260e)
  1.33    361.95     9.37                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1615 @ 804e067)
  1.30    371.06     9.11                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1585 @ 804df04)
  1.22    379.60     8.54                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1628 @ 804e21f)
  1.19    387.97     8.37                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4223 @ 8056c00)
  1.13    395.91     7.94                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4231 @ 8056c7d)
  1.13    403.84     7.93                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:329 @ 8049e93)
  1.13    411.74     7.90                             distinguishable(double, double) (subroutines.cc:185 @ 8049c14)
  0.92    418.21     6.47                             distinguishable(double, double) (subroutines.cc:186 @ 8049c29)
  0.92    424.64     6.43                             SpaceClass::init() (subroutines.cc:2760 @ 805264c)
  0.88    430.82     6.18                             SpaceClass::init() (subroutines.cc:2762 @ 80526cb)
  0.85    436.79     5.97                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:337 @ 8049f81)
  0.80    442.44     5.65                             SpaceClass::init() (subroutines.cc:2761 @ 805268d)
  0.78    447.94     5.49                             distinguishable(double, double) (subroutines.cc:191 @ 8049c93)
  0.76    453.27     5.33                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4477 @ 805796e)
  0.71    458.28     5.01                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4427 @ 80576fd)
  0.69    463.11     4.83                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1594 @ 804df85)
  0.67    467.78     4.68                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:333 @ 8049f01)
  0.63    472.23     4.45                             SpaceClass::init() (subroutines.cc:2764 @ 805274a)
  0.62    476.61     4.39                             SpaceClass::init() (subroutines.cc:2763 @ 805270c)
  0.60    480.82     4.21                             distinguishable(double, double) (subroutines.cc:190 @ 8049c66)
  0.58    484.87     4.05                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1604 @ 804dfed)
  0.56    488.78     3.92                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4200 @ 8056aea)
  0.56    492.69     3.91                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:371 @ 804a0fa)
  0.53    496.38     3.69                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4428 @ 805770c)
  0.50    499.88     3.50                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1621 @ 804e268)
  0.49    503.33     3.45                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4223 @ 8056e78)
  0.48    506.71     3.38                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3649 @ 8055467)
  0.48    510.08     3.38                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1601 @ 804dfc5)
  0.48    513.43     3.35                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:374 @ 804a103)
  0.43    516.48     3.05                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4425 @ 80576c7)
  0.42    519.45     2.97                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4424 @ 80576ab)
  0.41    522.34     2.89                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1584 @ 804df34)
  0.41    525.19     2.85                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:363 @ 804a099)
  0.40    528.00     2.81                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1595 @ 804df96)
  0.38    530.69     2.69                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4232 @ 8056c95)
  0.38    533.37     2.68                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4711 @ 80586a4)
  0.36    535.91     2.54                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:358 @ 804a050)
  0.36    538.44     2.53                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1594 @ 804dfaa)
  0.35    540.87     2.44                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1603 @ 804e03f)
  0.34    543.29     2.42                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1599 @ 804e049)
  0.34    545.67     2.38                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4465 @ 80578d0)
